Domain,Website Status,SPF,DKIM,DMARC
crowleysdfk.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:_spf.createsend.com  -all,Not found,v=DMARC1; p=none;
ormsby-rhodes.ie,No response,v=spf1 ip4:185.2.5.95 include:spf.protection.outlook.com -all,Not found,Not found
cluid.ie,Live (HTTPS),v=spf1 ip4:5.149.235.189 ip4:95.83.236.19 ip4:95.83.236.20 ip4:89.100.126.130 ip4:212.17.32.37 ip4:52.164.121.112 ip4:13.69.249.254 a:cluidserver.pointblank.ie include:spf.protection.outlook.com include:spf.eu.exclaimer.net include:_spf.psm.knowbe4.c om ip4:23.21.109.197 ip4:23.21.109.212 ip4:52.49.201.246 ip4:52.49.201.246 ip4:147.160.167.0/26 ~all,Not found,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc_agg@vali.email; ruf=mailto:jmongan@cluid.ie; fo=1
coru.ie,Live (HTTPS),v=spf1 mx ip4:137.191.239.45 include:spf.protection.outlook.com a:mail1.coru.ie a:partnerspf.rmmservice.com ~all,Not found,v=DMARC1; p=none;
nmbi.ie,No response,v=spf1 mx a ip4:5.61.115.48/28 include:nw005.com include:spf.protection.outlook.com include:spf.sendinblue.com include:spf.mailjet.com include:mailgun.org -all,Not found,v=DMARC1; p=quarantine; sp=none; rua=mailto:dmarc@nmbi.ie!10m,mailto:dmarc@nmbi.ie; ruf=mailto:dmarc@nmbi.ie!10m; rf=afrf; pct=100; ri=86400;
ifa.ie,Live (HTTP),v=spf1 mx ip4:81.17.244.62 ip4:78.137.160.212 include:spf.mandrillapp.com include:spf.protection.outlook.com ~all,Not found,v=DMARC1; p=none;
lapwd.com,Live (HTTP),v=spf1 include:spf.protection.outlook.com -all,Not found,Not found
lmetb.ie,Live (HTTP),v=spf1 include:spf.mailjet.com ip4:137.191.236.107 ip4:137.191.236.106 include:spf.dcsnet.ie include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=quarantine; pct=100
mtas.ie,No response,v=spf1 include:spf.protection.outlook.com -all,Not found,Not found
irishjobs.ie,Live (HTTP),v=spf1 include:stepstone.com include:mcxplatform.de a:dc3.bigmachines.com ip4:18.196.229.239 ip4:3.121.95.49 ip4:208.73.7.175 include:_spf.salesforce.com -all,Not found,v=DMARC1; p=none; rua=mailto:report@stepstone.email; ruf=mailto:report@stepstone.email; fo=1
priorityplacements.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:eu.mailgun.org -allv=spf1 include:eu.mailgun.org ~all,Not found,Not found
servisource.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:sendgrid.net ip4:212.54.130.143 include:servers.mcsv.net include:_spf.salesforce.com include:_spf.123formbuilder.com include:_spf.arlo.co ~all,Not found,v=DMARC1; p=none; rua=mailto:dmarc_agg@vali.email
wrightcover.ie,Live (HTTP),v=spf1 include:_netblocks.mimecast.com ip4:77.107.241.132 a:mailanyone.net a:remote.wrightcover.ie include:spf.protection.outlook.com include:spf.mailjet.com -all,Not found,v=DMARC1; p=none; rua=mailto:dmarc_agg@vali.email; ruf=mailto:dmarc.forensics@wrightcover.ie; sp=none; fo=1
fotawildlife.ie,Live (HTTP),v=spf1 mx a include:spf.protection.outlook.com include:spf.antispamcloud.com include:spf.ess.de.barracudanetworks.com -all,Not found,v=DMARC1; p=reject; pct=100; ruf=mailto:monitoring@fotawildlife.ie;
fltc.ie,Live (HTTP),v=spf1 a mx ip4:89.101.237.110 ip4:213.94.221.65 ip4:205.201.133.57 ip4:213.94.221.67 ip4:52.178.140.205 ip4:31.193.1.160 ip4:31.193.1.161 include:servers.mcsv.net include:spf.protection.outlook.com  ~all,Not found,v=DMARC1; p=quarantine;
hyc.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:servers.mcsv.net include:e2ma.net ip4:95.83.247.217 -all,Not found,v=DMARC1; p=none; rua=mailto:gary@hyc.ie;
luttrellstowncastleresort.com,Live (HTTP),Not found,Not found,Not found
claremorristennisclub.com,Live (HTTP),v=spf1 -all,v=spf1 -all,Not found
onecore.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com -allv=spf1 ip4:31.193.222.66 ip4:178.250.114.250 ip4:151.236.221.75 ip4:77.75.103.78 ip4:168.238.194.7 include:spf.protection.outlook.com,Not found,v=DMARC1; p=none; rua=mailto:,mailto; ruf=mailto:; sp=quarantine; ri=86400
fmi.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com a:spf.psi-fusion.com -all,Not found,v=DMARC1; p=reject; pct=100; adkim=s; aspf=s; sp=reject; fo=1; rf=afrf; ri=86400; rua=mailto:dmarc@fmi.ie; ruf=mailto:dmarc@fmi.ie;
jwt.com,Live (HTTP),v=spf1 ip4:204.10.135.8 ip4:137.117.86.137 include:spfx.jwt.com include:spf.protection.outlook.com include:amazonses.com include:_spf.emailcampaigns.net include:servers.mcsv.net ~all,v=DKIM1; p=,v=DMARC1; p=reject; pct=100; fo=1; adkim=r; aspf=r; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarmsgs@jwt.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com
pkf.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:eu.zeptomail.net include:45303191.spf08.hubspotemail.net include:spf.exclaimer.net include:spf.smtp2go.com include:spf.turbo-smtp.com include:spf.clikitmedia.com include:usermail.zohocreator.eu include:eu. zcsend.net -all,Not found,Not found
jacobs.com,Live (HTTP),v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com -all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1
theflyingenterprise.com,Live (HTTP),v=spf1 include:spf.protection.outlook.com -all,Not found,Not found
arlington.ie,Live (HTTP),v=spf1 a mx ip4:89.101.218.38 include:oracleindustry.com include:eu.rp.oracleemaildelivery.com ~all,Not found,v=DMARC1; p=none
brazenhead.com,Live (HTTP),v=spf1 include:spf.protection.outlook.com -all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvzm+O/D5QrMayg5S7TKzdc5uBFsVnlbjRqUKgchAlSYMx9MszC4jdScOVj4MahGfMV0TI9qmxFTWADxEJjKjHBdnM4/w3bB+Tb7guokp66qPZeQAwhBhz0OhrvujTEH3vYtkYo037FtEc2PBrXQ1cC3eF/9JUhyA3uO9tUuTXwwxinnX/EEvOHLuSVYwmDBHm aNopl4Q3WW7JVCyT3wsJ5GwZeTAjZ+2wV70pJ4pd9x/+8xjz7KSET2fMwSVNG49ByB8qLXQeGKHX3/nrhXOxhSUuzpfNy7eRJ9iHlcEvWgcFB1lv2Y1+andpeqiB/8jmhC3kmCkBkb60K1VIgRGpQIDAQAB;,Not found
halfwayhousedublin.com,Live (HTTPS),v=spf1 include:spf.protection.outlook.com -all,Not found,Not found
oneillspubdublin.com,Live (HTTP),v=spf1 a include:spf.blacknight.ie  ~all,Not found,Not found
bobbybyrnes.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com  -all,Not found,Not found
brubakers.ie,Live (HTTP),Not found,Not found,Not found
barsquare.ie,No response,Not found,Not found,Not found
carzone.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_agg@auth.returnpath.net; ruf=mailto:dmarc_afrf@auth.returnpath.net
into.ie,Live (HTTP),v=spf1 a mx ip4:193.189.141.33 ip4:139.162.150.136 ip4:46.22.129.63 ip4:83.98.160.225 ip4:83.98.160.32 ip4:209.236.236.162 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=none; rua=mailto:dmarc@lantech.uriports.com; ruf=mailto:dmarc@lantech.uriports.com; fo=1:d:s
edco.ie,Live (HTTPS),v=spf1 include:spf.edco.ie -all,Not found,v=DMARC1; p=reject; rua=mailto:d2457e076b15997@rep.dmarcanalyzer.com; ruf=mailto:d2457e076b15997@for.dmarcanalyzer.com; fo=1;
mooneyboats.ie,Live (HTTPS),v=spf1 a:dispatch-eu.ppe-hosted.com include:spf.protection.outlook.com include:amazonses.com -all include:mailgun.org ~all,Not found,v=DMARC1; p=reject; sp=reject; adkim=s; aspf=s; fo=1; pct=50; rua=mailto:dmarcreports@mooneyboats.ie; ruf=mailto:dmarcreports@mooneyboats.ie
workplacerelations.ie,Live (HTTP),v=spf1 ip4:137.191.224.104 ~all,Not found,v=DMARC1; p=reject; pct=100; fo=1; ri=3600; rua=mailto:bfa65a29@inbox.ondmarc.com; ruf=mailto:bfa65a29@inbox.ondmarc.com;
globalshares.com,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:email.chargebee.com include:_spf.createsend.com include:_spf.salesforce.com ~all,Not found,v=DMARC1; p=reject; sp=reject; fo=1; ri=3600; rua=mailto:sec_dmarc@globalshares.com; ruf=mailto:sec_dmarc@globalshares.com
qpark.ie,No response,Not found,Not found,Not found
rpcredit.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com -all,Not found,Not found
marygearychildcare.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:wpdatacenter.com -all,Not found,Not found
citybin.com,Live (HTTPS),v=spf1 ip4:46.22.137.184/32 ip4:35.157.190.224/27 ip4:18.185.115.192/26 ip4:18.184.203.224/27 include:spf.protection.outlook.com include:spf.seg.trustwave.com include:mail.zendesk.com include:_spf.salesforce.com include:servers.mcsv.net include:authsmtp.c om -all,Not found,v=DMARC1; p=none;
walshwaste.com,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:spf.topsec.com include:shops.shopify.com include:_spf.elasticemail.com ip4:3.251.232.128 ip4:13.38.202.32 ip4:83.70.177.131 -all,Not found,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc@zenotec.ie; ruf=mailto:dmarc@zenotec.ie; fo=1
aesirl.ie,Live (HTTP),v=spf1 include:spf.bordnamona.com include:spf.aesirl.ie -all,Not found,v=DMARC1; p=quarantine; rua=mailto:dmarc_agg@vali.email; ruf=mailto:atp@aesirl.ie; rf=afrf; sp=quarantine; pct=100; adkim=s; aspf=s
s3group.com,Live (HTTP),v=spf1 ip4:89.101.24.147/32 ip4:78.8.254.217/32 ip4:89.101.148.132/32 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=none; rua=mailto:dmarc.roagg@s3group.com,mailto:ve9s14ci@ag.eu.dmarcian.com; ruf=mailto:dmarc.rofail@s3group.com;
stericyclegxpsystems.com,No response,Not found,Not found,Not found
granite.ie,Live (HTTP),v=spf1 include:_spf.google.com include:servers.mcsv.net include:teamworkdesk.com ~all,Not found,v=DMARC1; p=none; rua=mailto:cr7ekdlu@ag.eu.dmarcian.com; ruf=mailto:cr7ekdlu@fr.eu.dmarcian.com;
cumnor.ie,Live (HTTP),v=spf1 ip4:93.95.81.142 include:spf.protection.outlook.com -all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA77d1PHOfcqB0V2GfDg3QvM7ipDVAlxwLnE3tXa/xxXJayrNvL4ofty29EkBPh9FogkYrYONBcTCEhgpY2RLeyJZ38msoAzAgp8cJkQCusuzwYO+lH Mc+H/U5S0Aag+UBT5o6wHViWzAwCvZ162uhykViQA/cvcOt0bywjdCj+xQrylaLuqIppKdiAwI0quL5Y3Y89Q6IQn1fvTZMtok/z03b4au/86mutCSXXLiyk57TsVOUKBUzICGuZzsEFFHLWhDZVyY92x+aq6USGs3X31hO8t+V+jc2yhHKqFbVy+6JjCfpEHgqPZk1/+hQm3WRU0PnX1iPAxkCN9kBULLpdwIDAQAB,Not found
mcgintyoshea.ie,Live (HTTP),v=spf1 ip4:93.95.85.34 include:spf.protection.outlook.com ~all,Not found,v=DMARC1; p=none; rua=mailto:dmarcreports@mcgintyoshea.ie;
csea.ie,Live (HTTPS),v=spf1 a mx ip4:89.101.148.249/29 include:csea.ie include:spf.protection.outlook.com include:spf.eu.exclaimer.net include:spf.messagelabs.com ~all,Not found,v=DMARC1; p=none; rua=mailto:postmaster@csea.ie; ruf=mailto:postmaster@csea.ie; fo=1
garlandconsultancy.com,Live (HTTPS),v=spf1 include:spf.protection.outlook.com include:arctechpro.com include:_spf.createsend.com -all,Not found,v=DMARC1; p=none; rua=mailto:info@garlandconsultancy.com
colas.ie,Live (HTTPS),v=spf1 include:spf1.speig.fr include:spf2.speig.fr include:spf3.speig.fr include:spf4.speig.fr -all,Not found,Not found
jodireland.com,Live (HTTP),v=spf1 include:_spf.google.com include:_8bebbd256f3eaddbc783e2d96955ced6.spf.dnssmarthost.net ~all,v=DKIM1;k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC4f9iWceH2iuOztiWE3wX7imnu55tCtH0Ipjfxs4z5r/oLAC3cxVDMSWZCrRnFDqdmNjVkGiSXevrX2CuX13Uf9CaOk7mV5Mzm5r1AegG8IWuf+GAPhQlaQMJfm6AeQBsr/4f/4y6EC9D+ZHDauJLkjHNyZDauVYUSZRF4XnULOwIDAQAB,v=dmarc1; p=none;
keatingconstruction.ie,Live (HTTP),v=spf1 ip4:185.43.232.206 include:spf.antispamcloud.com ip4:78.137.164.82 a mx ~all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxiclQPPWcMdk5l6Onz5ybWfJm4lz5WaDgKKUKXP1I22YM2bsTAXqWc9EOUGV2pcubm1FteW7r5SaI1gOR2gYsXjtxGtR0Wty83nVDjPLB2kQDaOt6AHhCWc3v9EcP+2QA+YoUKxt0/27K3OkeN+2SLZb4mQS/cCyMkh+k9cpLoTSYPffGpAMhMPNkVH5bzLvo cpME3wC2H1aazOAR2a61U7gs7Ot9B+vCz0CChddX7/hJ4rwwcZ3t56lE6FWqj/uM8wScOIow28xVpQ80P2AMPxY0Lh+3wT3sc2RiExKTPLaXbrX5jrPR0+JzoOPnkgdz2xDdhVk4GBQ6h+4BMuhrwIDAQAB;,Not found
