Domain,Website Status,SPF,DKIM,DMARC
allaboutsales.ie,Live (HTTP),v=spf1 +a +mx +ip4:35.214.168.178  include:allaboutsales.ie.spf.auto.dnssmarthost.net ~all,allaboutsales.ie.default.dkim.auto.dnssmarthost.net.default._domainkey_8d4cf15d648ca94426c1c1d242b1948c.dkim.dnssmarthost.net.v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDke0AD1CqC4B9kY5bDLuCwOuNTStUDf1DRAChS5EEKuwvZAM36KsmFwve5448Edi/5+ya2sFoSYDD+YpPnZ9VyfGY14rl5CaKe1CExcsfKu/xr7AVU2YptuGnXShb/u3eg09weFIv9wI0RVKYlb1lV+prr5bzz+JMQGeTMxDw++wIDAQAB;,v=DMARC1; p=none; aspf=r; adkim=r;
avenir.ie,Live (HTTP),v=spf1 include:_spf.google.com include:eu-sender.zohobooks.com include:_spf.elasticemail.com ~all,Not found,v=DMARC1; p=none;
blueproperty.ie,Live (HTTP),v=spf1 +a +mx +ip4:35.214.220.180  include:blueproperty.ie.spf.auto.dnssmarthost.net ~all,blueproperty.ie.default.dkim.auto.dnssmarthost.net.default._domainkey_6e3c93a4b9989c4c3d0dae082585f06f.dkim.dnssmarthost.net.v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDJQtaYVaH4fm+vHPM6+ZByet6it1nwh47LxAUY7X31lFuQ4ViLtStx+OVA6OU+kVW6TjeROg988KXB2THYTKnLPWHL7dVVYXLMJwVBwxyW/EJQ7q1K5QogOwZuBEgDhFloEAJV5feLg+ZaUZHCcx9IsvfBnRob6vhT0I1WoS49IQIDAQAB;,v=DMARC1; p=none; aspf=r; adkim=r;
conlontalentdevelopment.ie,Live (HTTP),v=spf1 +a +mx +ip4:35.214.246.90  include:conlontalentdevelopment.ie.spf.auto.dnssmarthost.net ~all,conlontalentdevelopment.ie.default.dkim.auto.dnssmarthost.net.default._domainkey_bccd49090345947350b6c97ba2e4d442.dkim.dnssmarthost.net.v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDO4HpStpNByyHH8CYtstG0x/fUh4ByXBezN7SnF9bXOTPnYBOZNS261nNIm7dDo4h0wijj87TsSyimHRBiMQ4qeAkIYB7CdkuJM16zsuDqirK0CQSMlBD3BrnpmCClv+BFPSwDy6cLlc82o9B1RnGKN1D75Dmq23SDhqk1uE/GlQIDAQAB;,v=DMARC1; p=none; aspf=r; adkim=r;
con-telegraph.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=none;
albany.ie,Live (HTTPS),v=spf1 mx a ptr a:mail1.iemx.net,Not found,Not found
pamex.ie,Live (HTTPS),v=spf1 include:spf.protection.outlook.com include:amazonses.com -all,Not found,Not found
stauntons.ie,Live (HTTP),v=spf1 a mx a:vms1.getonline.ie ~all,Not found,v=DMARC1; p=none
sobrienbuilders.ie,Live (HTTP),v=spf1 +a +mx include:sobrienbuilders.ie.spf.auto.dnssmarthost.net ~all,sobrienbuilders.ie.default.dkim.auto.dnssmarthost.net.default._domainkey_f83252025a491454d0963467886f19ec.dkim.dnssmarthost.net.v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDKLNesZH9bUyLkF5r+hRU5SkV+XZI+Lo6T/d+hPIQ+nGE3wjfhuQ5903UYv37zogoE5ewqXKcVAPOnJc7rnJsXVST1sVP3MKNg6PKb5GpWRe6ZfqnhWF4L7FHqPwr6SK+jNMcN8e/V9JNhJ3jz5Mde2Eg9DyTvfriHwlY+L50yVQIDAQAB;,v=DMARC1; p=none; aspf=r; adkim=r;
theellisonhotel.ie,Live (HTTPS),v=spf1 include:spf.protection.outlook.com include:netaffinity.net ~all,Not found,v=DMARC1; p=none;
