Domain,Website Status,SPF,DKIM,DMARC
independent.ie,Live (HTTP),v=spf1 ip4:83.71.187.233 ip4:89.101.141.135 ip4:83.71.187.253 ip4:89.101.157.129 ip4:5.61.115.80/26 include:rlyhosts.be include:spf.protection.outlook.com include:mailgun.org -all,Not found,v=DMARC1; p=reject; pct=100; fo=1; ri=3600; rua=mailto:13dbc9fb@inbox.ondmarc.com;ruf=mailto:13dbc9fb@inbox.ondmarc.com;
google.ie,Live (HTTP),v=spf1 -all,Not found,v=DMARC1; p=reject; rua=mailto:mailauth-reports@google.com
rte.ie,Live (HTTP),v=spf1 ip4:89.207.58.10 ip4:89.207.58.253 ip4:89.207.58.254 ip4:81.246.126.154 include:mail.zendesk.com include:spf.protection.outlook.com include:servers.mcsv.net -all,Not found,v=DMARC1; p=reject; pct=100; aspf=r; fo=1; ri=3600; rua=mailto:17bef058ab1442e0acaadfaab5acb955@dmarc-reports.cloudflare.net;
donedeal.ie,Live (HTTP),v=spf1 ip4:149.72.210.83 ip4:149.72.184.117 include:_spf.google.com a:zgateway.zuora.com include:_spf.salesforce.com include:mail.zendesk.com include:email.chargebee.com -all,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCpz3B1yWso75OCO4TvJ50DY4KcjIpD+OBPImqY/sNKX/UORr4q4FYmazKFmSUUIKWfrQYmGxg7guoRMlQX9NJATd1WLuFrHr9YUCNfbluae5aV8sdQDGMJpUdyNgJUjcqujEcLk2AQtUf747RtYbSQf5tYNr2O3ajjgClKP6oOSQIDAQAB,v=DMARC1; p=quarantine; pct=100; fo=1:d:s; ruf=mailto:ruf.reports@donedeal.ie; rua=mailto:72b3fb4445644e53a9e38eb117c195ef@dmarc-reports.cloudflare.net;
amazon.ie,Live (HTTPS),v=spf1 include:amazon.com -all,Not found,_dmarc.amazon.com.v=DMARC1; p=quarantine; pct=100; rua=mailto:report@dmarc.amazon.com; ruf=mailto:report@dmarc.amazon.com
rip.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:mailgun.org include:_spf.getresponse.com include:_spf.hostedemail.com -all,v=DKIM1;k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC2/QqKKYpUg6Y06L+XiJR2ACiFTIKwQjqyz0Ax9LbbV0x3OFlEzgfTBs0Ay0qLiaTP/IJTay3fAt/eyKv4fuUYtzk6oaFelwEv4Gb2W07AhXBOn860TXEl/mW2WLIZBF/Nr3rjdz8PoqKW6Z5oAWyuizKqoLHnkEoTUHUyA8Pv+wIDAQAB,v=DMARC1; p=reject; pct=100;rua=mailto:admin@rip.ie
thejournal.ie,Live (HTTP),v=spf1 include:servers.mcsv.net include:_spf.google.com include:spf.mandrillapp.com ~all,front-production-alb-1105557010.eu-west-1.elb.amazonaws.com.,v=DMARC1; p=quarantine; ruf=mailto:dmarc@kk4u0r9n.uriports.com; rua=mailto:dmarc@kk4u0r9n.uriports.com; fo=1; adkim=s; aspf=s;
thesun.ie,Live (HTTP),v=spf1 include:_spf.news.co.uk ~all,Not found,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com
tcd.ie,Live (HTTP),v=spf1 ip4:134.226.14.40 ip4:134.226.251.0/21 include:spf.protection.outlook.com include:_spf.google.com include:netaffinity.net include:_spf.eu.messagegears.net include:mh.blackboard.com -all,Not found,v=DMARC1; p=reject; sp=none; rua=mailto:dmarc_agg@vali.email, mailto:5e71390ec666207@rep.dmarcanalyzer.com; ruf=mailto:5e71390ec666207@for.dmarcanalyzer.com; fo=1;
ucd.ie,Live (HTTP),v=spf1 ip4:137.43.231.0/24 ip4:137.43.91.0/24 ip4:193.1.174.0/23 ip4:216.17.121.20 include:_spf.google.com ip4:143.55.236.196/31 ~all,Not found,v=DMARC1; p=none; rua=mailto:ucd.dmarcreport@ucd.ie
