timestamp,regime,receiver,provider,email_number,subject,smtp_status,delivery_status,response_time
2025-11-22T19:36:44Z,none,aglishlabs.msc@gmail.com,gmail,1,Legitymate Test - none - gmail - 20251122T1936_none,221,ACCEPTED,0.87
2025-11-22T19:36:47Z,none,aglishlabs.msc@gmail.com,gmail,2,Legitymate Test - none - gmail - 20251122T1936_none,221,ACCEPTED,0.75
2025-11-22T19:36:50Z,none,aglishlabs.msc@gmail.com,gmail,3,Legitymate Test - none - gmail - 20251122T1936_none,221,ACCEPTED,0.93
2025-11-22T19:36:53Z,none,aglishlabs.msc@gmail.com,gmail,4,Legitymate Test - none - gmail - 20251122T1936_none,221,ACCEPTED,0.79
2025-11-22T19:36:56Z,none,aglishlabs.msc@gmail.com,gmail,5,Legitymate Test - none - gmail - 20251122T1936_none,221,ACCEPTED,0.8
2025-11-22T19:36:59Z,none,aglishlabs.msc@gmail.com,gmail,6,Legitymate Test - none - gmail - 20251122T1936_none,221,ACCEPTED,0.85
2025-11-22T19:37:01Z,none,aglishlabs.msc@gmail.com,gmail,7,Legitymate Test - none - gmail - 20251122T1936_none,221,ACCEPTED,0.84
2025-11-22T19:37:04Z,none,aglishlabs.msc@gmail.com,gmail,8,Legitymate Test - none - gmail - 20251122T1936_none,221,ACCEPTED,0.84
2025-11-22T19:37:07Z,none,aglishlabs.msc@gmail.com,gmail,9,Legitymate Test - none - gmail - 20251122T1936_none,221,ACCEPTED,0.86
2025-11-22T19:37:10Z,none,aglishlabs.msc@gmail.com,gmail,10,Legitymate Test - none - gmail - 20251122T1936_none,221,ACCEPTED,0.77
2025-11-22T19:37:13Z,none,aglishlabs_msc@yahoo.com,yahoo,1,Legitymate Test - none - yahoo - 20251122T1936_none,221,ACCEPTED,0.77
2025-11-22T19:37:16Z,none,aglishlabs_msc@yahoo.com,yahoo,2,Legitymate Test - none - yahoo - 20251122T1936_none,221,ACCEPTED,0.77
2025-11-22T19:37:18Z,none,aglishlabs_msc@yahoo.com,yahoo,3,Legitymate Test - none - yahoo - 20251122T1936_none,221,ACCEPTED,0.85
2025-11-22T19:37:21Z,none,aglishlabs_msc@yahoo.com,yahoo,4,Legitymate Test - none - yahoo - 20251122T1936_none,221,ACCEPTED,0.9
2025-11-22T19:37:24Z,none,aglishlabs_msc@yahoo.com,yahoo,5,Legitymate Test - none - yahoo - 20251122T1936_none,221,ACCEPTED,0.77
2025-11-22T19:37:27Z,none,aglishlabs_msc@yahoo.com,yahoo,6,Legitymate Test - none - yahoo - 20251122T1936_none,221,ACCEPTED,0.82
2025-11-22T19:37:30Z,none,aglishlabs_msc@yahoo.com,yahoo,7,Legitymate Test - none - yahoo - 20251122T1936_none,221,ACCEPTED,0.9
2025-11-22T19:37:33Z,none,aglishlabs_msc@yahoo.com,yahoo,8,Legitymate Test - none - yahoo - 20251122T1936_none,221,ACCEPTED,0.83
2025-11-22T19:37:36Z,none,aglishlabs_msc@yahoo.com,yahoo,9,Legitymate Test - none - yahoo - 20251122T1936_none,221,ACCEPTED,0.85
2025-11-22T19:37:38Z,none,aglishlabs_msc@yahoo.com,yahoo,10,Legitymate Test - none - yahoo - 20251122T1936_none,221,ACCEPTED,0.83
2025-11-22T19:37:41Z,none,aglishlabs_msc@hotmail.com,hotmail,1,Legitymate Test - none - hotmail - 20251122T1936_none,221,ACCEPTED,0.78
2025-11-22T19:37:44Z,none,aglishlabs_msc@hotmail.com,hotmail,2,Legitymate Test - none - hotmail - 20251122T1936_none,221,ACCEPTED,0.9
2025-11-22T19:37:47Z,none,aglishlabs_msc@hotmail.com,hotmail,3,Legitymate Test - none - hotmail - 20251122T1936_none,221,ACCEPTED,0.91
