timestamp,regime,receiver,provider,email_number,subject,smtp_status,delivery_status,response_time
2025-11-23T11:31:46Z,dmarc-none,aglishlabs.msc@gmail.com,gmail,1,Legitymate Test - dmarc-none - gmail - 20251123T1131_dmarc-none,221,ACCEPTED,1.16
2025-11-23T11:31:49Z,dmarc-none,aglishlabs.msc@gmail.com,gmail,2,Legitymate Test - dmarc-none - gmail - 20251123T1131_dmarc-none,221,ACCEPTED,0.85
2025-11-23T11:31:52Z,dmarc-none,aglishlabs.msc@gmail.com,gmail,3,Legitymate Test - dmarc-none - gmail - 20251123T1131_dmarc-none,221,ACCEPTED,0.77
2025-11-23T11:31:55Z,dmarc-none,aglishlabs.msc@gmail.com,gmail,4,Legitymate Test - dmarc-none - gmail - 20251123T1131_dmarc-none,221,ACCEPTED,0.78
2025-11-23T11:31:58Z,dmarc-none,aglishlabs.msc@gmail.com,gmail,5,Legitymate Test - dmarc-none - gmail - 20251123T1131_dmarc-none,221,ACCEPTED,0.77
2025-11-23T11:32:00Z,dmarc-none,aglishlabs.msc@gmail.com,gmail,6,Legitymate Test - dmarc-none - gmail - 20251123T1131_dmarc-none,221,ACCEPTED,0.77
2025-11-23T11:32:03Z,dmarc-none,aglishlabs.msc@gmail.com,gmail,7,Legitymate Test - dmarc-none - gmail - 20251123T1131_dmarc-none,221,ACCEPTED,0.84
2025-11-23T11:32:06Z,dmarc-none,aglishlabs.msc@gmail.com,gmail,8,Legitymate Test - dmarc-none - gmail - 20251123T1131_dmarc-none,221,ACCEPTED,0.77
2025-11-23T11:32:09Z,dmarc-none,aglishlabs.msc@gmail.com,gmail,9,Legitymate Test - dmarc-none - gmail - 20251123T1131_dmarc-none,221,ACCEPTED,0.77
2025-11-23T11:32:12Z,dmarc-none,aglishlabs.msc@gmail.com,gmail,10,Legitymate Test - dmarc-none - gmail - 20251123T1131_dmarc-none,221,ACCEPTED,0.84
2025-11-23T11:32:15Z,dmarc-none,aglishlabs_msc@yahoo.com,yahoo,1,Legitymate Test - dmarc-none - yahoo - 20251123T1131_dmarc-none,221,ACCEPTED,0.85
2025-11-23T11:32:18Z,dmarc-none,aglishlabs_msc@yahoo.com,yahoo,2,Legitymate Test - dmarc-none - yahoo - 20251123T1131_dmarc-none,221,ACCEPTED,0.9
