timestamp,regime,receiver,provider,email_number,subject,smtp_status,delivery_status,response_time
2025-11-23T12:13:35Z,dmarc-quarantine,aglishlabs.msc@gmail.com,gmail,1,Legitymate Test - dmarc-quarantine - gmail - 20251123T1213_dmarc-quarantine,221,ACCEPTED,0.96
2025-11-23T12:13:38Z,dmarc-quarantine,aglishlabs.msc@gmail.com,gmail,2,Legitymate Test - dmarc-quarantine - gmail - 20251123T1213_dmarc-quarantine,221,ACCEPTED,0.78
2025-11-23T12:13:41Z,dmarc-quarantine,aglishlabs.msc@gmail.com,gmail,3,Legitymate Test - dmarc-quarantine - gmail - 20251123T1213_dmarc-quarantine,221,ACCEPTED,0.77
2025-11-23T12:13:44Z,dmarc-quarantine,aglishlabs.msc@gmail.com,gmail,4,Legitymate Test - dmarc-quarantine - gmail - 20251123T1213_dmarc-quarantine,221,ACCEPTED,0.83
2025-11-23T12:13:46Z,dmarc-quarantine,aglishlabs.msc@gmail.com,gmail,5,Legitymate Test - dmarc-quarantine - gmail - 20251123T1213_dmarc-quarantine,221,ACCEPTED,0.78
2025-11-23T12:13:49Z,dmarc-quarantine,aglishlabs.msc@gmail.com,gmail,6,Legitymate Test - dmarc-quarantine - gmail - 20251123T1213_dmarc-quarantine,221,ACCEPTED,0.77
2025-11-23T12:13:52Z,dmarc-quarantine,aglishlabs.msc@gmail.com,gmail,7,Legitymate Test - dmarc-quarantine - gmail - 20251123T1213_dmarc-quarantine,221,ACCEPTED,0.76
2025-11-23T12:13:55Z,dmarc-quarantine,aglishlabs.msc@gmail.com,gmail,8,Legitymate Test - dmarc-quarantine - gmail - 20251123T1213_dmarc-quarantine,221,ACCEPTED,0.83
2025-11-23T12:13:58Z,dmarc-quarantine,aglishlabs.msc@gmail.com,gmail,9,Legitymate Test - dmarc-quarantine - gmail - 20251123T1213_dmarc-quarantine,221,ACCEPTED,0.75
2025-11-23T12:14:01Z,dmarc-quarantine,aglishlabs.msc@gmail.com,gmail,10,Legitymate Test - dmarc-quarantine - gmail - 20251123T1213_dmarc-quarantine,221,ACCEPTED,0.82
2025-11-23T12:14:03Z,dmarc-quarantine,aglishlabs_msc@yahoo.com,yahoo,1,Legitymate Test - dmarc-quarantine - yahoo - 20251123T1213_dmarc-quarantine,221,ACCEPTED,0.91
